Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10298819_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10298819_novel-alleles.fasta_seqsero	SRR10298819_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10298819	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10298819_seqsero	SRR10298819_assembly.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10512520_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10512520_novel-alleles.fasta_seqsero	SRR10512520_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10512520	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10512520_seqsero	SRR10512520_assembly.fasta	7	y	e,n,x	Salmonella enterica subspecies enterica (subspecies I)	7:y:e,n,x	Hartford	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10963169_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10963169_novel-alleles.fasta_seqsero	SRR10963169_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10963169	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10963169_seqsero	SRR10963169_assembly.fasta	7	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	7:e,h:1,6	Norwich	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10995705_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10995705_novel-alleles.fasta_seqsero	SRR10995705_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10995705	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10995705_seqsero	SRR10995705_assembly.fasta	-	z4,z32	-	Salmonella enterica subspecies houtenae (subspecies IV)	-:z4,z32:-	IV -:z4,z32:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10995706_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10995706_novel-alleles.fasta_seqsero	SRR10995706_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR10995706	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR10995706_seqsero	SRR10995706_assembly.fasta	43	z4,z32	-	Salmonella enterica subspecies houtenae (subspecies IV)	43:z4,z32:-	IV 43:z4,z32:-	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11068400_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11068400_novel-alleles.fasta_seqsero	SRR11068400_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11068400	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11068400_seqsero	SRR11068400_assembly.fasta	4	d	-	Salmonella enterica subspecies enterica (subspecies I)	4:d:-	I 4:d:-	This predicted serotype is not in the Kauffman-White scheme. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11068401_novel-alleles.fasta	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11068401_novel-alleles.fasta_seqsero	SRR11068401_novel-alleles.fasta	-	-	-	-	-:-:-	- -:-:-	The input genome cannot be identified as Salmonella. Check the input for taxonomic ID, contamination, or sequencing quality. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11068401	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11068401_seqsero	SRR11068401_assembly.fasta	9	l,z28	l,z13,z28	Salmonella enterica subspecies enterica (subspecies I)	9:l,z28:l,z13,z28	I 9:l,z28:l,z13,z28	This predicted serotype is not in the Kauffman-White scheme. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11319451	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11319451_seqsero	SRR11319451_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR11319452	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR11319452_seqsero	SRR11319452_assembly.fasta	-	z4,z32	-	Salmonella enterica subspecies houtenae (subspecies IV)	-:z4,z32:-	IV -:z4,z32:-	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR12271055	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR12271055_seqsero	SRR12271055_assembly.fasta	4	d	1,7	Salmonella enterica subspecies enterica (subspecies I)	4:d:1,7	Schwarzengrund	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR12641661	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR12641661_seqsero	SRR12641661_assembly.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR12739110	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR12739110_seqsero	SRR12739110_assembly.fasta	3,10	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	3,10:e,h:1,6	Anatum	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR13510233	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR13510233_seqsero	SRR13510233_assembly.fasta	38	k	1,6	Salmonella enterica subspecies enterica (subspecies I)	38:k:1,6	Inverness	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR13827088	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR13827088_seqsero	SRR13827088_assembly.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR13827091	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR13827091_seqsero	SRR13827091_assembly.fasta	3,10	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	3,10:e,h:1,6	Anatum	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR13827092	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR13827092_seqsero	SRR13827092_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR14095472	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR14095472_seqsero	SRR14095472_assembly.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR14466819	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR14466819_seqsero	SRR14466819_assembly.fasta	7	y	e,n,x	Salmonella enterica subspecies enterica (subspecies I)	7:y:e,n,x	Hartford	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR14704455	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR14704455_seqsero	SRR14704455_assembly.fasta	9	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,m:-	Enteritidis	Detected Sdf I that is characteristic of commonly circulating strains of serotype Enteritidis. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15050789	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15050789_seqsero	SRR15050789_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15050790	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15050790_seqsero	SRR15050790_assembly.fasta	4	i	-	Salmonella enterica subspecies enterica (subspecies I)	4:i:-	I 4,[5],12:i:-	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15050791	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15050791_seqsero	SRR15050791_assembly.fasta	3,10	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	3,10:e,h:1,6	Anatum	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15103296	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15103296_seqsero	SRR15103296_assembly.fasta	7	r	1,5	Salmonella enterica subspecies enterica (subspecies I)	7:r:1,5	Infantis	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15146556	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15146556_seqsero	SRR15146556_assembly.fasta	13	g,m	-	Salmonella enterica subspecies enterica (subspecies I)	13:g,m:-	Agbeni	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15277966	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15277966_seqsero	SRR15277966_assembly.fasta	7	r	1,5	Salmonella enterica subspecies enterica (subspecies I)	7:r:1,5	Infantis	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR15712211	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR15712211_seqsero	SRR15712211_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16005866	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16005866_seqsero	SRR16005866_assembly.fasta	7	r	1,5	Salmonella enterica subspecies enterica (subspecies I)	7:r:1,5	Infantis	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16005867	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16005867_seqsero	SRR16005867_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16005869	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16005869_seqsero	SRR16005869_assembly.fasta	8	d	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:d:1,2	Muenchen	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16005870	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16005870_seqsero	SRR16005870_assembly.fasta	-	r	1,5	Salmonella enterica subspecies enterica (subspecies I)	-:r:1,5	I -:r:1,5	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16506860	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16506860_seqsero	SRR16506860_assembly.fasta	3,10	e,h	1,6	Salmonella enterica subspecies enterica (subspecies I)	3,10:e,h:1,6	Anatum	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR16965273	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR16965273_seqsero	SRR16965273_assembly.fasta	48	g,z51	-	Salmonella enterica subspecies houtenae (subspecies IV)	48:g,z51:-	IV 48:g,z51:-	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17115413	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17115413_seqsero	SRR17115413_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17230658	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17230658_seqsero	SRR17230658_assembly.fasta	7	m,t	-	Salmonella enterica subspecies enterica (subspecies I)	7:m,t:-	Oranienburg	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17468272	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17468272_seqsero	SRR17468272_assembly.fasta	8	e,h	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:e,h:1,2	Newport	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17468275	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17468275_seqsero	SRR17468275_assembly.fasta	-	r	1,5	Salmonella enterica subspecies enterica (subspecies I)	-:r:1,5	I -:r:1,5	O antigen was not detected. This result may be due to a rough strain that has deleted the rfb region. For raw reads input, the k-mer workflow is sometimes more sensitive than the microassembly workflow in detecting O antigen. Caution should be used with this approach because the k-mer result may be due to low levels of contamination. 
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17518188	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17518188_seqsero	SRR17518188_assembly.fasta	8	l,v	1,2	Salmonella enterica subspecies enterica (subspecies I)	8:l,v:1,2	Litchfield	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17720340	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17720340_seqsero	SRR17720340_assembly.fasta	7	g,m,s	-	Salmonella enterica subspecies enterica (subspecies I)	7:g,m,s:-	Montevideo	
Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
SRR17913424	/storage/group/evk5387/default/sophia_kenney/dogsalmonella/2.0-sero/seqsero/SRR17913424_seqsero	SRR17913424_assembly.fasta	4	i	1,2	Salmonella enterica subspecies enterica (subspecies I)	4:i:1,2	Typhimurium	
